id,en,tw,status,comment
1142,water,水,1,
1143,watermelon,西瓜,1,
1144,wave,波浪,1,
1145,way,道路,-1,
1146,we,我們,1,
1147,weak,弱的,1,
1148,wear,穿,1,
1149,weather,天氣,1,
1150,Wednesday,星期三,1,
1151,week,星期,1,
1152,weekend,週末,1,
1153,welcome,受歡迎的,1,
1154,well,好地,-1,
1155,west,西方,1,
1156,wet,濕的,-1,
1157,whale,鯨魚,1,
1158,what,什麼,0,
1159,when,何時,1,
1160,where,何處,1,
1161,whether,是否,1,
1162,which,哪一個,1,
1163,white,白色(的),1,
1164,who,誰,1,
1165,whose,誰的,1,
1166,why,為什麼,0,
1167,wife,妻子,1,
1168,will,將,-1,
1169,win,贏,1,
1170,wind,風,1,
1171,window,窗戶,1,
1172,windy,多風的,1,
1173,winter,冬天,1,
1174,wise,明智的,-1,
1175,wish,希望,-1,
1176,with,和,-1,
1177,without,沒有,-1,
1178,woman,女人,1,
1179,wonderful,極好的,1,
1180,word,字,1,
1181,work,工作,0,
1182,workbook,作業本,1,
1183,worker,工人,-1,
1184,world,世界,-1,
1185,worry,擔心,1,
1186,write,寫,1,
1187,writer,作家,1,
1188,wrong,錯誤的,1,
1189,yard,庭院,1,
1190,year,年,1,
1191,yellow,黃色(的),1,
1192,yes,是,0,
1193,yesterday,昨天,1,
1194,yet,尚未,1,
1195,you,你(們),0,
1196,young,年輕的,1,
1197,yummy,好吃的,-1,
1198,zebra,斑馬,-1,
1199,zero,零,1,
1200,zoo,動物園,1,
